CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
218176168020004,249604176010854,2006,72,9,1,30,1,2,2006,1,0.0,3.9,1.3,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176171020004,249604176010854,2006,72,9,1,30,2,2,2006,1,0.0,1.5,5.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176174020004,249604176010854,2006,72,9,1,30,3,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176177020004,249604176010854,2006,72,9,1,30,4,2,2006,1,0.0,2.0,0.2,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176169020004,249604176010854,2006,72,9,1,150,1,2,2006,1,0.0,0.6,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176172020004,249604176010854,2006,72,9,1,150,2,2,2006,1,0.0,3.5,4.6,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176175020004,249604176010854,2006,72,9,1,150,3,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176178020004,249604176010854,2006,72,9,1,150,4,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176170020004,249604176010854,2006,72,9,1,270,1,2,2006,1,0.0,0.6,5.9,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176173020004,249604176010854,2006,72,9,1,270,2,2,2006,1,0.0,1.3,2.0,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176176020004,249604176010854,2006,72,9,1,270,3,2,2006,1,0.0,0.7,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218176179020004,249604176010854,2006,72,9,1,270,4,2,2006,1,0.0,1.5,0.1,2013-10-21 14:55:35,2014-09-22 08:58:55,2,1,,1,,1,,
218177595020004,249604177010854,2006,72,9,2,30,1,2,2006,1,0.0,1.2,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
