CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737545116290487,72,2,1,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545117290487,72,3,1,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545118290487,72,4,1,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545119290487,72,1,2,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545120290487,72,2,2,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545121290487,72,3,2,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737545122290487,72,4,2,385662812489998,1,253419275010854,1,1.0,2024-12-18 10:23:19,
1737544736290487,72,3,1,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544737290487,72,4,1,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544735290487,72,2,1,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544738290487,72,1,1,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544739290487,72,2,2,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544740290487,72,3,2,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544741290487,72,4,2,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737544742290487,72,1,2,385662813489998,1,253419276010854,1,1.0,2024-12-18 10:23:03,
1737545074290487,72,2,1,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545075290487,72,3,1,385662814489998,2,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545076290487,72,4,1,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545077290487,72,1,2,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545078290487,72,2,2,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545079290487,72,3,2,385662814489998,2,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545080290487,72,4,2,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
1737545073290487,72,1,1,385662814489998,1,253419277010854,1,1.0,2024-12-18 10:23:16,
