CN,STATECD,COUNTYCD,PLOT,MEASYEAR,INVYR,CONDID,EVALID,PLT_CN,CND_CN,STRATUM_CN,PHASE,CONDPROP_CWD,CONDPROP_FWD_SM,CONDPROP_FWD_MD,CONDPROP_FWD_LG,CONDPROP_DUFF,CWD_TL_COND,CWD_TL_UNADJ,CWD_TL_ADJ,CWD_LPA_COND,CWD_LPA_UNADJ,CWD_LPA_ADJ,CWD_VOLCF_COND,CWD_VOLCF_UNADJ,CWD_VOLCF_ADJ,CWD_DRYBIO_COND,CWD_DRYBIO_UNADJ,CWD_DRYBIO_ADJ,CWD_CARBON_COND,CWD_CARBON_UNADJ,CWD_CARBON_ADJ,FWD_SM_TL_COND,FWD_SM_TL_UNADJ,FWD_SM_TL_ADJ,FWD_SM_CNT_COND,FWD_SM_VOLCF_COND,FWD_SM_VOLCF_UNADJ,FWD_SM_VOLCF_ADJ,FWD_SM_DRYBIO_COND,FWD_SM_DRYBIO_UNADJ,FWD_SM_DRYBIO_ADJ,FWD_SM_CARBON_COND,FWD_SM_CARBON_UNADJ,FWD_SM_CARBON_ADJ,FWD_MD_TL_COND,FWD_MD_TL_UNADJ,FWD_MD_TL_ADJ,FWD_MD_CNT_COND,FWD_MD_VOLCF_COND,FWD_MD_VOLCF_UNADJ,FWD_MD_VOLCF_ADJ,FWD_MD_DRYBIO_COND,FWD_MD_DRYBIO_UNADJ,FWD_MD_DRYBIO_ADJ,FWD_MD_CARBON_COND,FWD_MD_CARBON_UNADJ,FWD_MD_CARBON_ADJ,FWD_LG_TL_COND,FWD_LG_TL_UNADJ,FWD_LG_TL_ADJ,FWD_LG_CNT_COND,FWD_LG_VOLCF_COND,FWD_LG_VOLCF_UNADJ,FWD_LG_VOLCF_ADJ,FWD_LG_DRYBIO_COND,FWD_LG_DRYBIO_UNADJ,FWD_LG_DRYBIO_ADJ,FWD_LG_CARBON_COND,FWD_LG_CARBON_UNADJ,FWD_LG_CARBON_ADJ,PILE_SAMPLE_AREA_COND,PILE_SAMPLE_AREA_UNADJ,PILE_SAMPLE_AREA_ADJ,PILE_VOLCF_COND,PILE_VOLCF_UNADJ,PILE_VOLCF_ADJ,PILE_DRYBIO_COND,PILE_DRYBIO_UNADJ,PILE_DRYBIO_ADJ,PILE_CARBON_COND,PILE_CARBON_UNADJ,PILE_CARBON_ADJ,FUEL_DEPTH,FUEL_BIOMASS,FUEL_CARBON,DUFF_DEPTH,DUFF_BIOMASS,DUFF_CARBON,LITTER_DEPTH,LITTER_BIOMASS,LITTER_CARBON,DUFF_TC_COND,DUFF_TC_UNADJ,DUFF_TC_ADJ,AVG_WOOD_DENSITY,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,UNITCD,RSCD,PILE_TL_COND,PILE_TL_UNADJ,PILE_TL_ADJ,CONDPROP_PILE
558727123126144,72,13,5.0,2006,2006,1,720907,249604183010854,249695771010854,218181130020004,,1.0,0.999999999998,0.999999999998,0.999999999999,1.0,264.336336397,264.336336397,260.2696235294,51.770444376013586,51.770444376013586,52.5793575693888,2107.8519781350938,2107.8519781351097,2140.7871652934705,30778.011443937383,30778.011443937616,31258.91787274914,15112.003618973255,15112.00361897337,15348.128675519829,22.2684889948,22.2684889948,21.9191135971,34.0,4.312824741063531,4.312824741055525,4.381568162303985,118.95115661832503,118.95115661810424,120.84715517087375,59.475578309162515,59.47557830905212,60.423577585436874,22.2684889948,22.2684889948,21.9191135971,8.0,31.406901915478105,31.406901915419805,31.907506048003306,866.2274803504185,866.2274803488106,880.0345428087695,433.1137401752093,433.1137401744053,440.01727140438476,37.1141483247,37.1141483247,36.5318559951,6.0,168.2595918072502,168.25959180708895,170.94153245925187,4640.734149717406,4640.734149712959,4714.704218452134,2320.367074858703,2320.3670748564796,2357.352109226067,0.152780494536,0.1661669,0.162915502493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363636363636364,,,0.18181818181818182,7464.6,3732.3,1.7454545454545454,27878.4,13939.2,11.0,11.0,10.828125,32.448,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.91944
558727124126144,72,13,5.0,2006,2006,2,720907,249604183010854,249695772010854,218181130020004,,0.0,0.0,0.0,0.0,0.0,0.0,264.336336397,260.2696235294,,,,,,,,,,,,,0.0,22.2684889948,21.9191135971,,,,,,,,,,,0.0,22.2684889948,21.9191135971,,,,,,,,,,,0.0,37.1141483247,36.5318559951,,,,,,,,,,,0.013386405464,0.1661669,0.162915502493,,,,,,,,,,,,,,,,,,,0.0,11.0,10.828125,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.08056
558727118126144,72,13,12.0,2006,2006,1,720907,249604180010854,249695768010854,218181129020004,,0.75,0.750931682777,0.750931682777,0.750931682777,0.75,216.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.9503719021,39.9503719021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124625175,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,12.0,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.75
558727119126144,72,13,12.0,2006,2006,2,720907,249604180010854,249695767010854,218181129020004,,0.25,0.249068317225,0.249068317225,0.249068317223,0.25,72.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9702231413,23.9702231413,23.9702231413,19.0,8.98952366547794,2.2390055320143922,2.2390055320143922,247.93825431281397,61.75356377738255,61.75356377738255,123.96912715640698,30.876781888691276,30.876781888691276,5.9702231413,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9503719021,39.9503719021,39.9503719021,2.0,209.1985944119941,52.10474187566964,52.10474187566964,5769.864592758327,1437.0904647244693,1437.0904647244693,2884.9322963791633,718.5452323622346,718.5452323622346,0.041541725,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,,,0.26666666666666666,10948.08,5474.04,1.8666666666666667,29814.4,14907.2,3.0,12.0,12.0,32.448,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.25
558727116126144,72,13,15.0,2006,2006,1,720907,249604179010854,249695766010854,218181129020004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.1661669,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,1.0
558727126126144,72,19,3.0,2006,2006,1,720907,249604184010854,249695773010854,218181129020004,,0.75,0.750931682777,0.750931682777,0.750931682777,0.75,216.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.9503719021,39.9503719021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124625175,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,12.0,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.75
558727127126144,72,19,3.0,2006,2006,2,720907,249604184010854,249695774010854,218181129020004,,0.25,0.249068317225,0.249068317225,0.249068317223,0.25,72.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9702231413,23.9702231413,23.9702231413,2.0,0.946265648997678,0.23568479284362026,0.23568479284362026,26.098763611875157,6.500375134461321,6.500375134461321,13.049381805937578,3.2501875672306606,3.2501875672306606,5.9702231413,23.9702231413,23.9702231413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9503719021,39.9503719021,39.9503719021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041541725,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,,,0.0,0.0,0.0,0.36666666666666664,5869.71,2934.855,3.0,12.0,12.0,32.448,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,0.25
558727129126144,72,19,5.0,2006,2006,1,720907,249604185010854,249695775010854,218181129020004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.1661669,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,1.0
558727131126144,72,21,3.0,2006,2006,1,720907,249604186010854,249695776010854,218181129020004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.1661669,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,28.08,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,1.0
558727136126144,72,23,15.0,2006,2006,1,720907,249604188010854,249695779010854,218181130020004,,1.0,0.999999999999,0.999999999999,1.0,1.0,288.0,288.0,283.5692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2751992003,23.2751992003,22.9100292968,41.0,4.975813485003508,4.9758134849972935,5.05512448486167,137.23691656718475,137.23691656701337,139.42437739207276,68.61845828359237,68.61845828350668,69.71218869603638,23.2751992003,23.2751992003,22.9100292968,11.0,41.3166536197803,41.3166536197287,41.9752122894841,1139.5463601564363,1139.5463601550132,1157.7099351138029,569.7731800782182,569.7731800775066,578.8549675569014,38.7919986672,38.7919986672,38.1833821613,2.0,53.66064877590309,53.66064877588219,54.51596212728074,1480.003621758428,1480.0036217578513,1503.5938482401045,740.001810879214,740.0018108789257,751.7969241200523,0.1661669,0.1661669,0.162915502493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,,,0.0,0.0,0.0,0.9916666666666667,15838.9,7919.45,12.0,12.0,11.8125,32.448,2018-09-26 14:13:59,2018-09-26 14:14:00,4,1,1,33,0.0,0.0,0.0,1.0
