CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,PILE,MEASYEAR,CONDID,SHAPECD,DENSITY,HEIGHT1,WIDTH1,LENGTH1,HEIGHT2,WIDTH2,LENGTH2,VOLCF,DRYBIO,CARBON,PPA_UNADJ,PPA_PLOT,PPA_COND,CREATED_DATE,MODIFIED_DATE,COMP_HT,DECAYCD,HORIZ_BEGNDIST,HORIZ_ENDDIST,PILE_SAMPLE_METHOD,SPCD,TRANSECT
618818218126144,480540210489998,2018,72,19,4,2,1.0,,1,,,,,,,,,,,,,,,2019-03-01 12:50:12,2023-08-10 14:03:34,7,3,0.0,4.0,0,8644,180
1668810193290487,1309436276290487,2024,72,49,148,4,1.0,,1,,,,,,,,,,,,,,,2024-08-12 09:29:05,2024-08-16 07:58:18,5,3,1.0,10.0,3,8344,225
