CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,TREE,TRE_CN,DIA,STATUSCD,STEM_NBR,CYCLE,SUBCYCLE,CREATED_DATE,MODIFIED_DATE
311806964489998,197190766020004,2013,72,1,133,1.0,3.0,9,311806947489998,3.3,1,1,5,3,2015-03-11 14:22:22,
311806965489998,197190766020004,2013,72,1,133,1.0,3.0,10,311806948489998,4.7,1,1,5,3,2015-03-11 14:22:22,
311806966489998,197190766020004,2013,72,1,133,1.0,4.0,21,311806954489998,5.8,1,1,5,3,2015-03-11 14:22:22,
311807287489998,219013507020004,2014,72,3,49,115.0,2.0,2,311807279489998,2.1,1,1,5,3,2015-03-11 14:22:24,
311807288489998,219013507020004,2014,72,3,49,115.0,2.0,3,311807280489998,1.5,1,1,5,3,2015-03-11 14:22:24,
311807289489998,219013507020004,2014,72,3,49,115.0,2.0,5,311807282489998,2.6,1,1,5,3,2015-03-11 14:22:24,
311807541489998,219013542020004,2014,72,3,49,112.0,4.0,12,311807538489998,2.0,1,1,5,3,2015-03-11 14:22:25,
311807542489998,219013542020004,2014,72,3,49,112.0,4.0,13,311807539489998,2.5,1,1,5,3,2015-03-11 14:22:25,
312735379489998,219013688020004,2014,72,3,49,13.0,1.0,1,312735359489998,1.9,1,1,5,3,2015-03-17 14:19:00,
312735380489998,219013688020004,2014,72,3,49,13.0,1.0,2,312735360489998,1.9,1,1,5,3,2015-03-17 14:19:00,
312735381489998,219013688020004,2014,72,3,49,13.0,1.0,3,312735361489998,1.8,1,1,5,3,2015-03-17 14:19:00,
312735382489998,219013688020004,2014,72,3,49,13.0,1.0,4,312735362489998,1.7,1,1,5,3,2015-03-17 14:19:00,
312735383489998,219013688020004,2014,72,3,49,13.0,1.0,5,312735363489998,2.5,1,1,5,3,2015-03-17 14:19:00,
312735384489998,219013688020004,2014,72,3,49,13.0,1.0,6,312735364489998,1.8,1,1,5,3,2015-03-17 14:19:00,
312735385489998,219013688020004,2014,72,3,49,13.0,3.0,3,312735367489998,2.5,1,1,5,3,2015-03-17 14:19:00,
311807644489998,219013692020004,2014,72,2,147,253.0,1.0,1,311807623489998,9.0,2,1,5,3,2015-03-11 14:22:28,
311807645489998,219013692020004,2014,72,2,147,253.0,2.0,6,311807634489998,6.0,1,1,5,3,2015-03-11 14:22:28,
311807944489998,219013694020004,2014,72,2,147,5.0,2.0,30,311807923489998,5.5,1,1,5,3,2015-03-11 14:22:28,
311806962489998,197190766020004,2013,72,1,133,1.0,3.0,7,311806945489998,4.0,1,1,5,3,2015-03-11 14:22:22,
