CN,EVAL_CN,RSCD,EVALID,ESTN_UNIT,ESTN_UNIT_DESCR,STATECD,AREALAND_EU,AREATOT_EU,AREA_USED,AREA_SOURCE,P1PNTCNT_EU,P1SOURCE,CREATED_DATE,MODIFIED_DATE
313194491489998,313193595489998,33,721403,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,US CENSUS 2000,759696,NLCD 2001 PUERTO RICO MAINLAND,2015-03-17 15:28:23,2018-03-20 14:14:21
313194492489998,313193595489998,33,721403,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,US CENSUS 2000,485857,NLCD 2001 PUERTO RICO MAINLAND,2015-03-17 15:28:23,2018-03-20 14:14:21
604023395126144,604021181126144,33,721407,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,US CENSUS 2012,13517072,NLCD 2001 PUERTO RICO MAINLAND,2019-02-05 08:28:52,
42834444020004,42830140020004,33,720800,4,MONA ISLAND,72,14033.22,93477.69,93477.69,PIXEL COUNT,420325,NLCD 2001 MONA,2012-06-06 08:38:50,2018-03-20 14:14:21
42835272020004,42830141020004,33,720801,4,MONA ISLAND,72,14033.22,93477.69,93477.69,PIXEL COUNT,420325,NLCD 2001 MONA,2012-06-06 08:39:22,2018-03-20 14:14:21
705637169126144,705637138126144,33,721900,3,ISLAND OF CULEBRA,72,7435.73,108048.4,108048.4,US CENSUS 2000,485857,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:32,
705637167126144,705637138126144,33,721900,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,US CENSUS 2000,13517072,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:32,
705637168126144,705637138126144,33,721900,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,US CENSUS 2000,759696,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:32,
705637170126144,705637139126144,33,721901,1,MAINLAND PUERTO RICO (EXCLUDES DESECHEO AND MONA),72,2137333.34,3006004.56,3006004.56,US CENSUS 2000,13517072,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:37,
705637171126144,705637139126144,33,721901,2,ISLAND OF VIEQUES,72,32530.15,168947.89,168947.89,US CENSUS 2000,759696,NLCD 2001 PUERTO RICO MAINLAND,2019-10-03 10:19:37,
