CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,SOILSPCT,COMPCPCT,TYPRTDCD,TYPCMPCD,TYPAREACD,TYPOTHRCD,CREATED_DATE,MODIFIED_DATE
311812325489998,253419216010854,2011,72,35,4,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311812326489998,253419216010854,2011,72,35,4,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814855489998,253419252010854,2011,72,37,3,1.0,2011,0.0,5.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311814856489998,253419252010854,2011,72,37,3,2.0,2011,20.0,0.0,,,,,2015-03-17 15:12:14,
311814857489998,253419252010854,2011,72,37,3,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814858489998,253419252010854,2011,72,37,3,4.0,2011,0.0,10.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:14,
311815439489998,253419260010854,2011,72,37,18,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815440489998,253419260010854,2011,72,37,18,2.0,2011,0.0,20.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815441489998,253419260010854,2011,72,37,18,3.0,2011,0.0,20.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:15,
311815442489998,253419260010854,2011,72,37,18,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311814123489998,253419237010854,2011,72,39,5,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814124489998,253419237010854,2011,72,39,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311815340489998,253419259010854,2011,72,45,1,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311815341489998,253419259010854,2011,72,45,1,2.0,2011,20.0,30.0,1.0,0.0,0.0,0.0,2015-03-17 15:12:15,
311815342489998,253419259010854,2011,72,45,1,3.0,2011,5.0,0.0,,,,,2015-03-17 15:12:15,
311815343489998,253419259010854,2011,72,45,1,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311809515489998,253419169010854,2011,72,55,8,1.0,2011,5.0,99.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311809516489998,253419169010854,2011,72,55,8,2.0,2011,20.0,40.0,0.0,1.0,0.0,0.0,2015-03-17 15:12:14,
311809517489998,253419169010854,2011,72,55,8,4.0,2011,0.0,30.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810267489998,253419185010854,2011,72,55,12,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810264489998,253419185010854,2011,72,55,12,1.0,2011,40.0,40.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311810265489998,253419185010854,2011,72,55,12,2.0,2011,10.0,0.0,,,,,2015-03-17 15:12:14,
311810266489998,253419185010854,2011,72,55,12,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810455489998,253419188010854,2011,72,55,17,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810456489998,253419188010854,2011,72,55,17,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810457489998,253419188010854,2011,72,55,17,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311810458489998,253419188010854,2011,72,55,17,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809840489998,253419180010854,2011,72,57,13,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809841489998,253419180010854,2011,72,57,13,2.0,2011,20.0,50.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311809842489998,253419180010854,2011,72,57,13,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809843489998,253419180010854,2011,72,57,13,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311817653489998,253419290010854,2011,72,59,5,1.0,2011,10.0,0.0,,,,,2015-03-17 15:12:15,
311817654489998,253419290010854,2011,72,59,5,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817655489998,253419290010854,2011,72,59,5,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311817656489998,253419290010854,2011,72,59,5,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311809451489998,253419173010854,2011,72,59,12,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809452489998,253419173010854,2011,72,59,12,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809453489998,253419173010854,2011,72,59,12,3.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311809454489998,253419173010854,2011,72,59,12,4.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814677489998,253419249010854,2011,72,63,2,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814678489998,253419249010854,2011,72,63,2,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:14,
311814679489998,253419249010854,2011,72,63,2,3.0,2011,1.0,0.0,,,,,2015-03-17 15:12:14,
311814680489998,253419249010854,2011,72,63,2,4.0,2011,1.0,40.0,0.0,0.0,1.0,0.0,2015-03-17 15:12:14,
311816931489998,253419277010854,2011,72,65,4,1.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816932489998,253419277010854,2011,72,65,4,2.0,2011,0.0,0.0,,,,,2015-03-17 15:12:15,
311816933489998,253419277010854,2011,72,65,4,3.0,2011,20.0,0.0,,,,,2015-03-17 15:12:15,
