TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,THRESHOLD_TYPE,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
311803612489998,,197190660020004,72,SUBPLOT,,7290,1,5.0,30,30,20,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.101978,,,,1.101978,,,,1.101978,,,,,,,,,,,,,,,,,,,2.730358,84.7786,13.585982,41.287178,6.616373,,,2024-12-18 10:10:04,
311803613489998,,197190660020004,72,SUBPLOT,,7290,1,5.0,28,28,20,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.04649,,,,1.04649,,,,1.04649,,,,,,,,,,,,,,,,,,,2.730358,79.400124,12.901886,38.66786,6.283218,,,2024-12-18 10:10:04,
311824433489998,249710021010854,29590695020004,72,SUBPLOT,,8644,1,5.0,29,29,20,,1,0,,,,,3,,,0,,86.182,,,,,,,,,1.351951,,,,1.351951,,,,1.351951,,,,,,,,,,,,,,,,,,,2.730358,115.784437,16.66783,54.997608,7.917219,,,2024-12-18 10:03:36,
311803614489998,,197190660020004,72,SUBPLOT,,8644,1,5.0,21,21,15,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.020974,,,,1.020974,,,,1.020974,,,,,,,,,,,,,,,,,,,2.730358,60.412858,12.587306,28.696108,5.97897,,,2024-12-18 10:10:04,
311803622489998,,197190660020004,72,SUBPLOT,,7891,1,5.0,33,33,40,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.387723,,,,1.387723,,,,1.387723,,,,,,,,,,,,,,,,,,,2.730358,92.813103,17.108853,44.086224,8.126705,,,2024-12-18 10:10:04,
311803623489998,,197190660020004,72,SUBPLOT,,8713,1,5.0,30,30,30,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.234124,,,,1.234124,,,,1.234124,,,,,,,,,,,,,,,,,,,2.730358,84.7786,15.215173,40.269835,7.227207,,,2024-12-18 10:10:04,
311803624489998,,197190660020004,72,SUBPLOT,,8781,1,5.0,30,30,20,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.27491,,,,1.27491,,,,1.27491,,,,,,,,,,,,,,,,,,,2.730358,84.7786,15.718013,40.269835,7.466056,,,2024-12-18 10:10:04,
311803626489998,,197190660020004,72,SUBPLOT,,8781,1,5.0,32,32,20,,1,0,,,,,3,,,0,,39.5106,,,,,,,,,1.35025,,,,1.35025,,,,1.35025,,,,,,,,,,,,,,,,,,,2.730358,90.139165,16.646859,42.816103,7.907258,,,2024-12-18 10:10:04,
311803680489998,,197190662020004,72,SUBPLOT,,7290,1,5.0,38,38,30,,1,0,,,,,3,,,0,,140.5214,,,,,,,,,1.31538,,,,1.31538,,,,1.31538,,,,,,,,,,,,,,,,,,,2.730358,106.124453,16.216956,51.682609,7.897658,,,2024-12-18 10:09:59,
311803683489998,,197190662020004,72,SUBPLOT,,6064,1,5.0,43,43,25,,1,0,,,,,3,,,0,,140.5214,,,,,,,,,1.756175,,,,1.756175,,,,1.756175,,,,,,,,,,,,,,,,,,,2.730358,119.348258,21.651396,56.690423,10.284413,,,2024-12-18 10:09:59,
311803684489998,,197190662020004,72,SUBPLOT,,7994,1,5.0,40,40,20,,1,0,,,,,3,,,0,,140.5214,,,,,,,,,1.892186,,,,1.892186,,,,1.892186,,,,,,,,,,,,,,,,,,,2.730358,111.42382,23.328238,52.926315,11.080913,,,2024-12-18 10:09:59,
311803690489998,,197190662020004,72,SUBPLOT,,6888,1,5.0,40,40,45,,1,0,,,,,3,,,0,,140.5214,,,,,,,,,1.646745,,,,1.646745,,,,1.646745,,,,,,,,,,,,,,,,,,,2.730358,111.42382,20.302264,51.366381,9.359343,,,2024-12-18 10:09:59,
311803727489998,,197190662020004,72,SUBPLOT,,7422,1,5.0,45,45,40,,1,0,,,,,3,,,0,,140.5214,,,,,,,,,1.828657,,,,1.828657,,,,1.828657,,,,,,,,,,,,,,,,,,,2.730358,124.615751,22.545006,59.192482,10.708878,,,2024-12-18 10:09:59,
311803781489998,,197190663020004,72,MICROPLOT,,7290,1,1.0,15,15,55,,1,,,,,,2,,,0,,109.3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,2.061886,0.399217,1.004138,0.194419,,,2024-12-18 10:10:22,
311803787489998,,197190663020004,72,MICROPLOT,,7290,1,1.0,11,11,20,,1,,,,,,2,2.3,,0,,109.3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.535681,0.399217,0.747877,0.194419,,,2024-12-18 10:10:22,
311803756489998,249716341010854,197190663020004,72,SUBPLOT,,7290,1,5.0,28,28,40,,1,0,,,,,3,4.8,,0,,109.3458,,,,,,,,,1.04649,,,,1.04649,,,,1.04649,,,,,,,,,,,,,,,,,,,2.730358,79.400124,12.901886,38.66786,6.283218,,,2024-12-18 10:10:22,
311803761489998,,197190663020004,72,SUBPLOT,,7290,1,5.0,35,35,40,,1,0,,,,,3,,,0,,109.3458,,,,,,,,,1.236818,,,,1.236818,,,,1.236818,,,,,,,,,,,,,,,,,,,2.730358,98.148958,15.248387,47.798543,7.425964,,,2024-12-18 10:10:22,
311803766489998,249716343010854,197190663020004,72,SUBPLOT,,7290,1,5.0,32,32,50,,1,0,,,,,3,,,0,,109.3458,,,,,,,,,1.156544,,,,1.156544,,,,1.156544,,,,,,,,,,,,,,,,,,,2.730358,90.139165,14.258711,43.897773,6.943992,,,2024-12-18 10:10:22,
311803774489998,,197190663020004,72,SUBPLOT,,7290,1,5.0,40,40,25,,1,0,,,,,3,4.8,,0,,109.3458,,,,,,,,,1.366887,,,,1.366887,,,,1.366887,,,,,,,,,,,,,,,,,,,2.730358,111.42382,16.851972,54.2634,8.20691,,,2024-12-18 10:10:22,
311803775489998,,197190663020004,72,SUBPLOT,,7290,1,5.0,35,35,30,,1,0,,,,,3,,,0,,109.3458,,,,,,,,,1.236818,,,,1.236818,,,,1.236818,,,,,,,,,,,,,,,,,,,2.730358,98.148958,15.248387,47.798543,7.425964,,,2024-12-18 10:10:22,
311803777489998,,197190663020004,72,SUBPLOT,,7290,1,5.0,33,33,35,,1,0,,,,,3,,,0,,109.3458,,,,,,,,,1.183504,,,,1.183504,,,,1.183504,,,,,,,,,,,,,,,,,,,2.730358,92.813103,14.591093,45.199981,7.105862,,,2024-12-18 10:10:22,
311803778489998,,197190663020004,72,SUBPLOT,,7474,1,5.0,40,40,35,,1,0,,,,,3,4.8,,0,,109.3458,,,,,,,,,2.064309,,,,2.064309,,,,2.064309,,,,,,,,,,,,,,,,,,,2.730358,111.42382,25.450295,50.140719,11.452633,,,2024-12-18 10:10:22,
311803779489998,,197190663020004,72,SUBPLOT,,7474,1,5.0,35,35,20,,1,0,,,,,3,,,0,,109.3458,,,,,,,,,1.872309,,,,1.872309,,,,1.872309,,,,,,,,,,,,,,,,,,,2.730358,98.148958,23.08318,44.167031,10.387431,,,2024-12-18 10:10:22,
311803828489998,249713979010854,197190664020004,72,SUBPLOT,,7474,1,5.0,50,50,15,,1,0,,,,,3,4.9,,0,,56.4193,,,,,,,,,2.430101,,,,2.430101,,,,2.430101,,,,,,,,,,,,,,,,,,,2.730358,137.734442,29.960043,61.980499,13.482019,,,2024-12-18 10:10:00,
311803830489998,,197190664020004,72,SUBPLOT,,7290,1,5.0,30,30,30,,1,0,,,,,3,,,0,,56.4193,,,,,,,,,1.101978,,,,1.101978,,,,1.101978,,,,,,,,,,,,,,,,,,,2.730358,84.7786,13.585982,41.287178,6.616373,,,2024-12-18 10:10:00,
311803832489998,249716053010854,197190664020004,72,SUBPLOT,,7290,1,5.0,40,40,35,,1,0,,,,,2,,,0,,56.4193,,,,,,,,,1.366887,,,,1.366887,,,,1.366887,,,,,,,,,,,,,,,,,,,2.730358,111.42382,16.851972,54.2634,8.20691,,,2024-12-18 10:10:00,
311803944489998,,197190668020004,72,MICROPLOT,,7470,1,1.0,17,17,20,,1,,,,,,2,,,0,,63.6957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,2.322226,0.399217,1.103057,0.189628,,,2024-12-18 10:10:05,
