CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_DATE,MODIFIED_DATE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
1212399520290487,807232070290487,2021,72,119,5,135,3,1,,3,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:34,1,,3,
1212399521290487,807232070290487,2021,72,119,5,225,4,1,,8,0,1,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:34,1,,3,
1212399518290487,807232070290487,2021,72,119,5,270,1,1,,2,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:34,1,,3,
1212399519290487,807232070290487,2021,72,119,5,360,2,1,,1,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:34,1,,3,
1212399110290487,807232065290487,2021,72,119,25,135,3,2,,4,0,2,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397857290487,807232046290487,2021,72,119,26,135,3,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212399111290487,807232065290487,2021,72,119,25,225,4,2,,4,2,2,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212399108290487,807232065290487,2021,72,119,25,270,1,1,,,,,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212399109290487,807232065290487,2021,72,119,25,360,2,1,,,,,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397858290487,807232046290487,2021,72,119,26,225,4,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397855290487,807232046290487,2021,72,119,26,270,1,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397856290487,807232046290487,2021,72,119,26,360,2,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396342290487,807232019290487,2021,72,121,2,135,3,1,,7,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396343290487,807232019290487,2021,72,121,2,225,4,1,,14,1,1,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396340290487,807232019290487,2021,72,121,2,270,1,1,,14,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396341290487,807232019290487,2021,72,121,2,360,2,1,,17,1,1,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212393973290487,807231985290487,2021,72,123,5,135,3,1,,,,,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212393974290487,807231985290487,2021,72,123,5,225,4,1,,,,,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212393971290487,807231985290487,2021,72,123,5,270,1,1,,,,,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212393972290487,807231985290487,2021,72,123,5,360,2,2,,4,1,0,,,6.0,24.0,24.0,6.0,24.0,24.0,10.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212394004290487,807231986290487,2021,72,123,6,135,3,1,,0,0,0,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212394005290487,807231986290487,2021,72,123,6,225,4,2,,,,,,,6.0,24.0,24.0,6.0,24.0,24.0,10.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212394002290487,807231986290487,2021,72,123,6,270,1,1,,0,0,0,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212394003290487,807231986290487,2021,72,123,6,360,2,1,,0,2,3,,,18.0,24.0,24.0,18.0,24.0,24.0,30.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392857290487,807231967290487,2021,72,123,9,135,3,1,,0,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392858290487,807231967290487,2021,72,123,9,225,4,1,,5,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392855290487,807231967290487,2021,72,123,9,270,1,1,,1,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392856290487,807231967290487,2021,72,123,9,360,2,1,,7,3,1,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391703290487,807231951290487,2021,72,125,3,135,3,1,,5,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391704290487,807231951290487,2021,72,125,3,225,4,1,,5,4,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391701290487,807231951290487,2021,72,125,3,270,1,1,,12,1,2,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391702290487,807231951290487,2021,72,125,3,360,2,1,,11,1,3,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391568290487,807231950290487,2021,72,125,5,135,3,1,,1,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391569290487,807231950290487,2021,72,125,5,225,4,1,,0,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391566290487,807231950290487,2021,72,125,5,270,1,1,,8,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212391567290487,807231950290487,2021,72,125,5,360,2,1,,0,2,1,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395751290487,807232010290487,2021,72,125,9,135,3,1,,8,4,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395752290487,807232010290487,2021,72,125,9,225,4,1,,8,0,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395749290487,807232010290487,2021,72,125,9,270,1,1,,10,0,4,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395750290487,807232010290487,2021,72,125,9,360,2,1,,3,1,4,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392559290487,807231962290487,2021,72,125,12,135,3,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392560290487,807231962290487,2021,72,125,12,225,4,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392557290487,807231962290487,2021,72,125,12,270,1,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212392558290487,807231962290487,2021,72,125,12,360,2,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212398065290487,807232050290487,2021,72,127,5,135,3,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212398066290487,807232050290487,2021,72,127,5,225,4,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212398063290487,807232050290487,2021,72,127,5,270,1,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212398064290487,807232050290487,2021,72,127,5,360,2,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397417290487,807232039290487,2021,72,127,6,135,3,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397418290487,807232039290487,2021,72,127,6,225,4,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397415290487,807232039290487,2021,72,127,6,270,1,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212397416290487,807232039290487,2021,72,127,6,360,2,1,,,,,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396539290487,807232022290487,2021,72,129,5,135,3,1,,1,0,2,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396540290487,807232022290487,2021,72,129,5,225,4,1,,3,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396537290487,807232022290487,2021,72,129,5,270,1,1,,0,1,0,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212396538290487,807232022290487,2021,72,129,5,360,2,1,,8,4,4,,,24.0,24.0,24.0,24.0,24.0,24.0,40.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395823290487,807232012290487,2021,72,129,6,135,3,2,,,,,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395824290487,807232012290487,2021,72,129,6,225,4,1,,6,0,0,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395821290487,807232012290487,2021,72,129,6,270,1,1,,0,0,0,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212395822290487,807232012290487,2021,72,129,6,360,2,2,,,,,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
1212398406290487,807232054290487,2021,72,131,2,135,3,2,,,,,,,12.0,24.0,24.0,12.0,24.0,24.0,20.0,40.0,40.0,2022-05-10 11:11:05,2023-08-10 14:03:33,1,,3,
